Time,G8,G9,GA,GB,B1,B2,B3,lat,lon,gpsacc,imei,time
0,-99,-96,-98,-102,-93,0,0,10.8808689,-1.0877474,8,8.62E+14,735926.4853
0,-89,-98,-95,-93,-91,0,0,10.8808704,-1.0877455,15,8.62E+14,735926.4854
0,-90,-99,-95,-92,-92,0,0,10.8808702,-1.087746,8,8.62E+14,735926.4855
0,-98,-96,-100,-95,-90,0,0,10.8808696,-1.0877484,17,8.62E+14,735926.4856
0,-92,-96,-102,-104,-92,0,0,10.8808699,-1.0877496,18,8.62E+14,735926.4857
0,-94,-99,-98,-93,-94,0,0,10.8808716,-1.0877486,15,8.62E+14,735926.4859
0,-93,-101,-96,-98,-95,0,0,10.8808705,-1.0877477,9,8.62E+14,735926.486
0,-92,-100,-98,-100,-98,0,0,10.8808723,-1.0877475,96,8.62E+14,735926.4861
0,-93,-99,-98,-97,-94,0,0,10.8808729,-1.087746,13,8.62E+14,735926.4862
0,-87,-98,-91,-85,-86,0,0,10.880872,-1.0877466,13,8.62E+14,735926.4863
0,-103,-99,-100,-100,-94,0,0,10.8808687,-1.0877486,96,8.62E+14,735926.4864
0,0,-102,0,0,0,0,0,10.8808674,-1.0877457,7,8.62E+14,735926.4866
0,-101,0,-100,0,-100,0,0,10.8808682,-1.0877434,10,8.62E+14,735926.4867
0,-97,-99,-95,-93,-99,0,0,10.8808682,-1.0877423,9,8.62E+14,735926.4868
0,-98,-98,-101,-101,-101,0,0,10.8808692,-1.087743,7,8.62E+14,735926.4869
0,0,0,0,-99,0,0,0,10.8808692,-1.087743,7,8.62E+14,735926.487
0,0,0,0,0,0,0,0,10.8808713,-1.0877454,9,8.62E+14,735926.4871
0,0,0,0,0,0,0,0,10.8808734,-1.0877486,15,8.62E+14,735926.4873
0,0,0,0,0,0,0,0,10.8808731,-1.0877495,30,8.62E+14,735926.4874
0,0,0,0,0,0,0,0,10.8808731,-1.0877495,30,8.62E+14,735926.4875
0,0,0,0,0,0,0,0,10.8808731,-1.0877495,30,8.62E+14,735926.4876
0,0,0,0,0,0,0,0,10.8808733,-1.0877496,64,8.62E+14,735926.4877
0,0,0,0,0,0,0,0,10.8808733,-1.0877496,64,8.62E+14,735926.4878
0,0,0,0,0,0,0,0,10.8808733,-1.0877496,64,8.62E+14,735926.488
0,0,0,0,0,0,0,0,10.8808733,-1.0877496,43,8.62E+14,735926.4881
0,0,0,0,0,0,0,0,10.8808733,-1.0877496,34,8.62E+14,735926.4882
0,0,0,0,0,0,0,0,10.8808733,-1.0877496,34,8.62E+14,735926.4883
0,0,0,0,0,0,0,0,10.8808733,-1.0877496,50,8.62E+14,735926.4884
0,0,0,0,0,0,0,0,10.8808733,-1.0877497,96,8.62E+14,735926.4885
0,0,0,0,0,0,0,0,10.8808733,-1.0877497,96,8.62E+14,735926.4887
0,0,0,0,0,0,0,0,10.8808734,-1.0877497,33,8.62E+14,735926.4888
0,0,0,0,0,0,0,0,10.8808734,-1.0877497,33,8.62E+14,735926.4889
0,0,0,0,0,0,0,0,10.8808734,-1.0877497,33,8.62E+14,735926.489
0,0,0,0,0,0,0,0,10.8808734,-1.0877497,70,8.62E+14,735926.4891
0,0,0,0,0,0,0,0,10.8808734,-1.0877498,57,8.62E+14,735926.4892
0,0,0,0,0,0,0,0,10.8808734,-1.0877498,45,8.62E+14,735926.4894
0,0,0,0,0,0,0,0,10.8808734,-1.0877498,25,8.62E+14,735926.4895
0,0,0,0,0,0,0,0,10.8808734,-1.0877498,35,8.62E+14,735926.4896
0,0,0,0,0,0,0,0,10.8808735,-1.0877498,45,8.62E+14,735926.4897
0,0,0,0,0,0,0,0,10.8808735,-1.0877498,36,8.62E+14,735926.4898
0,0,0,0,0,0,0,0,10.8808736,-1.0877498,96,8.62E+14,735926.49
0,0,0,0,0,0,0,0,10.8808736,-1.0877498,35,8.62E+14,735926.4901
0,0,0,0,0,0,0,0,10.8808736,-1.0877498,48,8.62E+14,735926.4902
0,0,0,0,0,0,0,0,10.8808736,-1.0877498,96,8.62E+14,735926.4903
0,0,0,0,0,0,0,0,10.8808737,-1.0877498,44,8.62E+14,735926.4904
0,0,0,0,0,0,0,0,10.8808737,-1.0877498,20,8.62E+14,735926.4905
0,0,0,0,0,0,0,0,10.8808737,-1.0877498,96,8.62E+14,735926.4906
0,0,0,0,0,0,0,0,10.8808737,-1.0877498,20,8.62E+14,735926.4908
0,0,0,0,0,0,0,0,10.8808737,-1.0877498,38,8.62E+14,735926.4909
0,0,0,0,0,0,0,0,10.8808738,-1.0877498,20,8.62E+14,735926.491
0,0,0,0,0,0,0,0,10.8808738,-1.0877498,96,8.62E+14,735926.4911
0,0,0,0,0,0,0,0,10.8808738,-1.0877498,23,8.62E+14,735926.4912
0,0,0,0,0,0,0,0,10.8808738,-1.0877499,36,8.62E+14,735926.4914
